Ticker,Net Income, Assets ,Shareholder's Equity,PB,ROE,Log_Assets,Log_pb,eq_ratio
SMBC,50.18,"5,020",544.69,1.05,0.09212579632,8.521185213,0.04879016417,0.1085039841
SBCF,120.99,"15,176","2,183",1.07,0.05542372881,9.627470512,0.06765864847,0.1438455456
INDB,192.08,"19,374","2,993",0.91,0.06417641163,9.87168724,-0.09431067947,0.1544853928
WSFS,263.67,"20,814","2,579",1.21,0.1022373013,9.943381116,0.1906203596,0.1239069857
SSB,534.78,"46,381","5,890",1.29,0.09079456706,10.74464517,0.2546422184,0.1269916561
ABCB,358.69,"26,262","3,752",1.15,0.09559968017,10.17587831,0.1397619424,0.1428680222
ASB,123.15,"43,023","4,606",0.84,0.02673686496,10.66949014,-0.1743533871,0.1070590149
BOH,149.99,"23,601","1,668",1.7,0.08992206235,10.06904436,0.5306282511,0.0706749714
WTFC,695.05,"64,880","6,344",1.31,0.1095602144,11.08029469,0.2700271372,0.09778051788
FRME,201.4,"18,312","2,305",1.01,0.08737527115,9.815311862,0.009950330853,0.125873744
HAFC,62.2,"7,678",732.17,0.97,0.08495294809,8.946114376,-0.03045920748,0.09535946861
HWC,460.82,"35,082","4,128",1.14,0.1116327519,10.46544346,0.1310282624,0.1176671798
BTBT,28.31,538.25,463.48,0.93,0.06108138431,6.288323136,-0.07257069283,0.8610868556
FCF,142.57,"11,585","1,405",1.22,0.1014733096,9.357466437,0.1988508587,0.121277514
FFIN,223.51,"13,979","1,607",3.19,0.139085252,9.545311482,1.160020917,0.1149581515
HOPE,99.63,"17,054","2,135",0.7,0.04666510539,9.744140059,-0.3566749439,0.1251905711
NVEC,17.12,64.28,62.27,6.65,0.2749317488,4.163248541,1.894616855,0.9687305538
PNFP,475.06,"52,589","6,432",1.36,0.07385883085,10.87026225,0.3074846997,0.1223069463
TRMK,223.01,"18,152","1,962",1.1,0.1136646279,9.806536026,0.0953101798,0.1080872631
UMBF,441.24,"50,410","3,467",1.59,0.1272685319,10.82794485,0.4637340162,0.0687760365
WABC,138.64,"6,076",889.96,1.57,0.1557822823,8.712101864,0.4510756194,0.1464713627
BCBP,18.62,"3,599",323.93,0.62,0.05748155466,8.188411308,-0.4780358009,0.0900055571
BKU,232.47,"35,242","2,814",1.01,0.0826119403,10.46999383,0.009950330853,0.07984790875
CASH,183.22,"7,532",822.19,2.01,0.2228438682,8.92691589,0.6981347221,0.1091595858
CHCO,117.1,"6,459",730.66,2.38,0.1602660608,8.773229786,0.8671004877,0.1131227744
CLBK,-11.65,"10,475","1,080",1.53,-0.01078703704,9.256746745,0.4252677354,0.1031026253
CPF,53.41,"7,472",538.39,1.46,0.09920317985,8.91891798,0.3784364357,0.07205433619
CTBI,82.81,"6,193","6,193",1.26,0.01337154852,8.731174901,0.231111721,1
EFSC,185.27,"15,596","1,824",1.15,0.1015734649,9.65476975,0.1397619424,0.1169530649
ESNT,729.4,"7,112","5,604",1.03,0.1301570307,8.869538777,0.02955880224,0.7879640045
FIBK,226,"29,137","3,304",1.03,0.06840193705,10.27976412,0.02955880224,0.1133953393
FMBH,78.9,"7,520",846.39,1.04,0.09321943785,8.925321417,0.03922071315,0.1125518617
FNB,465,"48,625","6,302",0.84,0.07378609965,10.79189308,-0.1743533871,0.1296041131
FSBW,35.02,"3,029",295.77,1.07,0.118402813,8.015987811,0.06765864847,0.09764608782
GNTY,31.54,"3,116",319.07,1.24,0.09884978218,8.044305407,0.2151113796,0.1023973042
HTBK,40.53,"5,645",689.73,0.83,0.05876212431,8.638525477,-0.1863295782,0.1221842338
ISTR,20.25,"2,723",241.3,0.89,0.083920431,7.909489493,-0.1165338163,0.08861549761
KRNY,-86.67,"7,740",745.96,0.51,-0.1161858545,8.954156967,-0.6733445533,0.09637726098
LCNB,13.49,"2,307",253.04,0.84,0.05331172937,7.743703258,-0.1743533871,0.1096835717
MCBS,64.5,"3,594",421.35,1.92,0.1530793877,8.187021067,0.652325186,0.1172370618
NRIM,36.97,"3,042",267.12,1.61,0.1384022162,8.020270473,0.476234179,0.08781065089
NBTB,140.64,"13,787","1,526",1.48,0.09216251638,9.531481398,0.3920420878,0.1106839777
OCFC,100.07,"13,421","1,703",0.62,0.05876100998,9.504575923,-0.4780358009,0.1268906937
OPBK,21.07,"2,366",204.99,1.14,0.1027855017,7.768956045,0.1310282624,0.08663989856
OFG,198.17,"11,501","1,254",1.55,0.158030303,9.350189267,0.4382549309,0.109033997
PBFS,19.2,"1,980",304.55,0.96,0.06304383517,7.590852124,-0.04082199452,0.1538131313
PFIS,8.5,"5,092",468.95,1.09,0.01812559974,8.53542596,0.08617769624,0.09209544383
PLBC,28.62,"1,623",177.9,1.57,0.1608768971,7.392031568,0.4510756194,0.1096118299
PROV,7.35,"1,272",129.94,0.66,0.05656456826,7.148345744,-0.415515444,0.1021540881
RRBI,34.24,"3,150",319.74,1.14,0.1070870082,8.055157732,0.1310282624,0.1015047619
SBFG,11.47,"1,380",127.51,1.08,0.08995372912,7.229838778,0.07696104114,0.09239855072
SBSI,88.49,"8,517",811.94,1.19,0.1089858857,9.049819445,0.1739533071,0.09533168956
SFNC,152.69,"26,876","3,529",0.79,0.04326721451,10.19898897,-0.2357223335,0.1313067421
SFST,15.53,"4,088",330.44,0.98,0.04699794214,8.315811132,-0.02020270732,0.08083170254
SIGI,207.01,"13,514","3,120",1.82,0.06634935897,9.511481464,0.5988365011,0.2308716886
SRCE,132.62,"8,932","1,182",1.21,0.1121996616,9.097395613,0.1906203596,0.1323331841
STBA,131.27,"9,658","1,380",1.06,0.09512318841,9.175541866,0.05826890812,0.142886726
STEL,115,"10,906","1,608",0.94,0.07151741294,9.297068375,-0.06187540372,0.1474417752
SYBT,114.54,"8,863",940.48,2.24,0.1217888738,9.089640587,0.8064758659,0.1061130543
TRST,48.83,"6,239",676.34,0.94,0.0721974155,8.738575192,-0.06187540372,0.1084051931
UVSP,75.93,"8,128",887.3,0.97,0.08557421391,9.00307017,-0.03045920748,0.1091658465
WSBF,18.69,"2,210",339.14,0.73,0.05510998408,7.700747795,-0.3147107448,0.1534570136
